Date et heure,Nom du joueur,Avion,Temps,Temps intermédiaire,Temps (s),Temps intermédiaire (s)
2021-03-21T09:09:59.000Z,Asta,M-2000C,26 min 59.900,15 min 57.460,1619.9,957.46
2021-03-23T17:16:04.000Z,CoubyStark,M-2000C,26 min 35.060,16 min 15.980,1595.06,975.98
2021-04-17T19:09:08.000Z,NightWolf [VEAW] Yohann,F-14B,33 min 02.680,17 min 10.130,1982.68,1030.13
2021-04-18T10:32:03.000Z,NightWolf [VEAW] Yohann,F-14B,28 min 06.670,16 min 19.110,1686.67,979.11
2021-04-24T22:48:47.000Z,Sushimi,M-2000C,44 min 38.140,23 min 28.970,2678.14,1408.97
2021-05-03T22:17:00.000Z,Psycho,FA-18C_hornet,45 min 29.090,30 min 31.490,2729.09,1831.49
2021-05-04T21:48:32.000Z,Psycho,FA-18C_hornet,40 min 21.610,27 min 26.830,2421.61,1646.83
2021-05-04T22:04:48.000Z,Dee-Jay BMS,F-16C_50,30 min 32.800,14 min 13.800,1832.8,853.8
2021-05-07T18:47:25.000Z,Dee-Jay from BMS,F-16C_50,32 min 13.800,16 min 15.510,1933.8,975.51
2021-05-07T21:01:11.000Z,Asta,M-2000C,25 min 00.820,15 min 24.680,1500.82,924.68
2021-05-07T21:52:28.000Z,Dee-Jay from BMS,F-16C_50,29 min 59.320,14 min 04.020,1799.32,844.02
2021-05-08T10:59:58.000Z,Dee-Jay from BMS,F-16C_50,31 min 30.210,13 min 56.200,1890.21,836.2
2021-05-08T11:58:30.000Z,COLMAR 2-1 - Guips,M-2000C,36 min 29.440,25 min 54.650,2189.44,1554.65
2021-05-08T12:31:10.000Z,COLMAR 2-1 - Guips,M-2000C,30 min 41.880,15 min 43.900,1841.88,943.9
2021-05-08T15:06:05.000Z,JTFF | Gemini | VF-84,F-14B,33 min 53.110,14 min 37.410,2033.11,877.41
2021-05-08T15:28:01.000Z,JTFF | Charly,FA-18C_hornet,25 min 29.340,15 min 03.590,1529.34,903.59
2021-05-08T15:57:45.000Z,JTFF | Charly,FA-18C_hornet,26 min 00.700,16 min 09.270,1560.7,969.27
2021-05-08T16:22:54.000Z,JTFF | Charly,FA-18C_hornet,24 min 18.770,14 min 08.040,1458.77,848.04
2021-05-08T18:18:30.000Z,Dee-Jay from BMS,F-16C_50,29 min 37.740,13 min 30.600,1777.74,810.6
2021-05-08T18:56:27.000Z,JTFF | Charly,M-2000C,24 min 46.040,14 min 42.040,1486.04,882.04
2021-05-08T21:52:57.000Z,JTFF | Gemini | VF-84,F-14B,29 min 10.050,15 min 38.990,1750.05,938.99
2021-05-08T21:57:25.000Z,31st - MrGl0ck,F-16C_50,35 min 18.220,17 min 46.780,2118.22,1066.78
2021-05-09T14:14:36.000Z,JTFF | Charly,M-2000C,24 min 57.400,15 min 10.710,1497.4,910.71
